trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789100,-0.010900,1.4200,-2.0300,7.2737,none,1.4200,0.0000,-1102.2330,9471.7600,4833.2230,-266.0769,2873.9447,1629.1050,10690.6127
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789300,-0.010700,1.4200,-2.0300,7.3617,none,1.4200,0.0000,-1103.4350,9469.3540,4835.1600,-267.2789,2871.5387,1631.0420,10689.4811
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789200,-0.010800,1.4200,-2.0300,7.4498,none,1.4200,0.0000,-1107.0410,9471.7600,4836.1270,-270.8849,2873.9447,1632.0090,10692.4226
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789600,-0.010400,1.4200,-2.0300,7.5381,none,1.4200,0.0000,-1104.6380,9470.5590,4831.2880,-268.4819,2872.7437,1627.1700,10688.9221
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790800,-0.009200,1.4200,-2.0300,7.6258,none,1.4200,0.0000,-1109.4450,9469.9520,4829.3510,-273.2889,2872.1367,1625.2330,10688.0068
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789500,-0.010500,1.4200,-2.0300,7.7136,none,1.4200,0.0000,-1102.2330,9469.3540,4834.1920,-266.0769,2871.5387,1630.0740,10688.9193
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788600,-0.011400,1.4200,-2.0300,7.8019,none,1.4200,0.0000,-1102.2330,9472.3570,4835.1600,-266.0769,2874.5417,1631.0420,10692.0174
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788200,-0.011800,1.4200,-2.0300,7.8899,none,1.4200,0.0000,-1107.0410,9472.9590,4835.1600,-270.8849,2875.1437,1631.0420,10693.0475
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788800,-0.011200,1.4200,-2.0300,7.9780,none,1.4200,0.0000,-1107.0410,9473.5620,4831.2880,-270.8849,2875.7467,1627.1700,10691.8315
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789200,-0.010800,1.4200,-2.0300,8.0659,none,1.4200,0.0000,-1111.2480,9471.1570,4838.0640,-275.0919,2873.3417,1633.9460,10693.2011
