Bx_uT,By_uT,Bz_uT
2.301000000000000000e+03,3.896699999999999818e+03,6.251344000000000051e+03
2.301449999999999818e+03,3.897000000000000000e+03,6.247953999999999724e+03
2.300250000000000000e+03,3.896250000000000000e+03,6.241422999999999774e+03
2.301449999999999818e+03,3.896250000000000000e+03,6.246020999999999731e+03
2.301300000000000182e+03,3.896398999999999887e+03,6.251586000000000240e+03
2.301300000000000182e+03,3.896398999999999887e+03,6.253521999999999935e+03
2.301000000000000000e+03,3.896550000000000182e+03,6.265381000000000313e+03
2.300699999999999818e+03,3.895648999999999887e+03,6.257394000000000233e+03
2.300849999999999909e+03,3.896699999999999818e+03,6.266832000000000335e+03
2.300849999999999909e+03,3.897000000000000000e+03,6.252070999999999913e+03
2.301148999999999887e+03,3.896398999999999887e+03,6.255701000000000022e+03
2.301000000000000000e+03,3.896849999999999909e+03,6.245295000000000073e+03
2.301000000000000000e+03,3.896550000000000182e+03,6.258362000000000080e+03
2.301148999999999887e+03,3.896398999999999887e+03,6.254489999999999782e+03
2.301000000000000000e+03,3.895949999999999818e+03,6.258118999999999687e+03
2.300550000000000182e+03,3.896699999999999818e+03,6.243359000000000378e+03
2.301000000000000000e+03,3.897148999999999887e+03,6.235614999999999782e+03
2.301000000000000000e+03,3.896699999999999818e+03,6.243600000000000364e+03
2.300398999999999887e+03,3.896099999999999909e+03,6.246746000000000095e+03
2.300398999999999887e+03,3.897148999999999887e+03,6.251344000000000051e+03
2.301000000000000000e+03,3.897300000000000182e+03,6.252554000000000087e+03
2.301599999999999909e+03,3.897300000000000182e+03,6.241422999999999774e+03
2.300849999999999909e+03,3.896550000000000182e+03,6.254006999999999607e+03
2.300550000000000182e+03,3.896250000000000000e+03,6.248925000000000182e+03
2.301449999999999818e+03,3.896550000000000182e+03,6.239487000000000080e+03
2.300699999999999818e+03,3.897898999999999887e+03,6.248439999999999600e+03
2.300849999999999909e+03,3.896849999999999909e+03,6.233436999999999898e+03
2.300849999999999909e+03,3.897000000000000000e+03,6.239967999999999847e+03
2.300550000000000182e+03,3.895949999999999818e+03,6.246020999999999731e+03
2.300849999999999909e+03,3.897750000000000000e+03,6.252554000000000087e+03
2.301148999999999887e+03,3.897300000000000182e+03,6.250375000000000000e+03
2.299949999999999818e+03,3.896849999999999909e+03,6.249408000000000357e+03
2.300398999999999887e+03,3.896849999999999909e+03,6.246746000000000095e+03
2.301750000000000000e+03,3.897599999999999909e+03,6.240210000000000036e+03
2.301599999999999909e+03,3.897148999999999887e+03,6.248198999999999614e+03
2.300250000000000000e+03,3.896699999999999818e+03,6.254734999999999673e+03
2.301300000000000182e+03,3.896250000000000000e+03,6.248198999999999614e+03
2.300550000000000182e+03,3.896849999999999909e+03,6.244569999999999709e+03
2.300699999999999818e+03,3.896099999999999909e+03,6.246262999999999920e+03
2.300550000000000182e+03,3.896099999999999909e+03,6.251828999999999724e+03
2.300099999999999909e+03,3.895648999999999887e+03,6.247953999999999724e+03
2.299648999999999887e+03,3.895949999999999818e+03,6.240453000000000429e+03
2.299800000000000182e+03,3.896099999999999909e+03,6.254972999999999956e+03
2.300550000000000182e+03,3.896250000000000000e+03,6.240210000000000036e+03
2.300699999999999818e+03,3.896398999999999887e+03,6.238277000000000044e+03
2.300849999999999909e+03,3.896550000000000182e+03,6.235614999999999782e+03
2.301000000000000000e+03,3.897599999999999909e+03,6.245052999999999884e+03
2.300699999999999818e+03,3.896398999999999887e+03,6.240453000000000429e+03
2.299949999999999818e+03,3.895800000000000182e+03,6.241177999999999884e+03
2.300250000000000000e+03,3.897148999999999887e+03,6.244569999999999709e+03
2.300398999999999887e+03,3.896849999999999909e+03,6.251586000000000240e+03
2.299800000000000182e+03,3.896099999999999909e+03,6.247712000000000444e+03
2.300398999999999887e+03,3.895949999999999818e+03,6.249649999999999636e+03
2.301750000000000000e+03,3.896550000000000182e+03,6.238519000000000233e+03
2.301148999999999887e+03,3.897000000000000000e+03,6.242873999999999796e+03
2.300849999999999909e+03,3.897000000000000000e+03,6.241663999999999760e+03
2.300550000000000182e+03,3.896099999999999909e+03,6.234162000000000262e+03
2.301300000000000182e+03,3.897148999999999887e+03,6.243117000000000189e+03
2.300550000000000182e+03,3.896849999999999909e+03,6.235614999999999782e+03
2.300550000000000182e+03,3.896550000000000182e+03,6.244085000000000036e+03
2.299500000000000000e+03,3.896550000000000182e+03,6.238277000000000044e+03
2.301300000000000182e+03,3.896699999999999818e+03,6.246988999999999578e+03
2.300849999999999909e+03,3.896099999999999909e+03,6.234886999999999716e+03
2.299949999999999818e+03,3.896099999999999909e+03,6.239728000000000065e+03
2.299949999999999818e+03,3.896250000000000000e+03,6.252796999999999571e+03
2.300699999999999818e+03,3.896550000000000182e+03,6.239967999999999847e+03
2.300099999999999909e+03,3.896699999999999818e+03,6.241905999999999949e+03
